iter	Passed	Remaining
200	508	2021
201	510	2015
202	512	2010
203	513	2004
204	515	1999
205	517	1993
206	518	1987
207	520	1981
208	521	1975
209	523	1970
210	525	1964
211	527	1960
212	529	1954
213	530	1948
214	532	1942
215	533	1936
216	535	1931
217	536	1926
218	538	1919
219	540	1914
220	541	1909
221	543	1903
222	544	1898
223	546	1893
224	547	1887
225	549	1881
226	550	1875
227	552	1870
228	554	1865
229	555	1860
230	557	1855
231	558	1849
232	560	1844
233	561	1838
234	563	1834
235	565	1829
236	566	1824
237	568	1818
238	569	1813
239	570	1807
240	572	1802
241	573	1797
242	575	1791
243	576	1785
244	577	1780
245	579	1776
246	580	1771
247	582	1765
248	583	1761
249	585	1756
250	586	1751
251	588	1746
252	589	1741
253	591	1737
254	592	1732
255	594	1727
256	595	1721
257	597	1717
258	598	1713
259	600	1708
260	601	1703
261	603	1699
262	604	1694
263	606	1689
264	607	1684
265	608	1680
266	610	1675
267	611	1671
268	613	1666
269	614	1661
270	616	1657
271	617	1653
272	619	1649
273	620	1644
274	622	1640
275	623	1635
276	625	1631
277	626	1627
278	627	1622
279	629	1618
280	630	1614
281	632	1609
282	633	1605
283	635	1600
284	636	1597
285	638	1592
286	639	1588
287	640	1584
288	642	1580
289	643	1576
290	645	1572
291	647	1569
292	648	1565
293	649	1560
294	651	1556
295	652	1552
296	654	1548
297	655	1544
298	656	1539
299	658	1535
300	659	1531
301	660	1527
302	662	1523
303	663	1519
304	665	1515
305	666	1512
306	668	1509
307	670	1505
308	671	1501
309	673	1498
310	674	1495
311	676	1491
312	678	1488
313	679	1485
314	681	1481
315	682	1478
316	684	1474
317	686	1471
318	687	1467
319	688	1464
320	690	1460
321	692	1457
322	693	1453
323	695	1450
324	696	1446
325	698	1443
326	699	1439
327	701	1436
328	702	1432
329	703	1429
330	705	1425
331	706	1422
332	708	1418
333	709	1415
334	711	1412
335	713	1409
336	714	1405
337	715	1402
338	717	1398
339	719	1395
340	720	1392
341	721	1389
342	723	1385
343	724	1382
344	726	1379
345	728	1376
346	729	1373
347	731	1370
348	732	1367
349	734	1364
350	736	1361
351	737	1358
352	739	1355
353	740	1351
354	742	1348
355	743	1345
356	745	1342
357	747	1340
358	748	1337
359	750	1334
360	752	1331
361	753	1328
362	755	1325
363	757	1322
364	758	1319
365	760	1316
366	761	1313
367	763	1310
368	764	1307
369	766	1305
370	768	1302
371	769	1299
372	771	1296
373	773	1294
374	774	1291
375	775	1287
376	777	1284
377	778	1281
378	780	1278
379	781	1275
380	783	1272
381	784	1269
382	786	1266
383	787	1263
384	789	1260
385	790	1257
386	792	1255
387	794	1252
388	795	1249
389	797	1246
390	798	1243
391	800	1241
392	801	1238
393	803	1235
394	805	1232
395	806	1230
396	807	1227
397	809	1224
398	810	1221
399	812	1218
400	813	1215
401	815	1212
402	816	1210
403	818	1207
404	820	1205
405	821	1202
406	823	1199
407	824	1196
408	826	1194
409	827	1191
410	829	1188
411	831	1186
412	832	1182
413	833	1179
414	835	1177
415	836	1174
416	837	1171
417	839	1168
418	840	1165
419	841	1162
420	843	1159
421	844	1156
422	845	1153
423	847	1151
424	848	1148
425	850	1145
426	851	1142
427	852	1139
428	854	1137
429	855	1134
430	857	1131
431	858	1128
432	860	1126
433	861	1123
434	863	1121
435	864	1118
436	865	1115
437	867	1113
438	868	1110
439	870	1107
440	871	1104
441	873	1102
442	874	1099
443	876	1097
444	877	1094
445	879	1091
446	880	1089
447	881	1086
448	883	1083
449	884	1081
450	886	1078
451	887	1076
452	889	1073
453	890	1070
454	892	1068
